,age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
82,53,F,City,Premium Membership,2015-04-02,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,172.99,9044.15,8.0,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,1
83,54,M,,Basic Membership,2015-08-07,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,254.72,11345.66,7.0,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,5
84,62,F,City,No Membership,2016-10-13,No,Without Offers,Both,Fiber_Optic,5,304.52,47658.52,29.0,699.19,No,Yes,Yes,Solved,Too many ads,4
86,30,F,,No Membership,2017-11-13,?,Credit/Debit Card Offers,Desktop,Wi-Fi,13,264.54,40756.7,26.0,628.31,Yes,No,No,Not Applicable,Too many ads,5
87,30,M,City,Silver Membership,2017-06-03,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12,191.41,25575.44,,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,4
88,51,M,Town,Premium Membership,2015-12-10,Yes,Without Offers,Desktop,Wi-Fi,13,135.09,48819.9,8.0,,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3
89,29,M,Village,Silver Membership,2017-11-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12,123.37,13032.52,6.0,,Yes,No,No,Not Applicable,No reason specified,4
90,16,M,City,Silver Membership,2017-11-06,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,355.31,20457.22,5.0,1233.7697272353937,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3
91,25,F,Village,Gold Membership,2017-05-18,Yes,Without Offers,Smartphone,Mobile_Data,11,31.88,35414.54,20.0,788.67,No,Yes,No,Not Applicable,No reason specified,3
92,62,F,City,Basic Membership,2017-07-06,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,14,125.0,38802.24,28.0,,No,Yes,Yes,Unsolved,No reason specified,4
93,24,F,Town,Premium Membership,2017-08-29,Yes,Without Offers,Desktop,Fiber_Optic,5,181.34,43554.96,1.0,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,2
94,48,M,City,No Membership,2015-03-27,Yes,,Desktop,Mobile_Data,8,960.62,13954.02,17.0,631.15,No,Yes,Yes,Solved,Poor Customer Service,4
95,56,M,Village,Basic Membership,2017-08-22,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,24,48.59,28071.04,16.0,533.05,No,Yes,Yes,Solved,Poor Website,5
96,17,M,,Basic Membership,2016-12-28,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,12,30.12,15027.14,12.0,,No,Yes,No,Not Applicable,No reason specified,5
97,23,F,Town,Gold Membership,2016-08-04,Yes,Without Offers,Desktop,Wi-Fi,21,727.69,4919.72,13.0,758.83,Yes,Yes,No,Not Applicable,Too many ads,3
98,42,F,City,No Membership,2016-06-23,No,Gift Vouchers/Coupons,Both,Fiber_Optic,3,419.51,14661.42,,404.4897583720529,No,Yes,Yes,Solved in Follow-up,No reason specified,5
100,18,M,Town,Basic Membership,2015-12-22,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11,293.42,2521.3,,964.8409708374116,Yes,No,Yes,No Information Available,Poor Customer Service,5
101,23,M,City,Gold Membership,2015-06-21,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10,934.354219849904,11955.94,24.0,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,4
102,52,F,City,Basic Membership,2017-11-13,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,826.51,14877.24,25.0,522.61,Yes,No,No,Not Applicable,Poor Customer Service,5
103,49,F,Town,Premium Membership,2016-09-02,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,21,115.41,41156.81,27.0,741.02,No,Yes,No,Not Applicable,Poor Customer Service,3
104,30,M,,Premium Membership,2017-05-14,No,Gift Vouchers/Coupons,?,Wi-Fi,7,481.45,4207.45,28.0,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,3
105,31,F,Town,Basic Membership,2016-08-18,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,148.95,2364.45,,634.51,No,Yes,No,Not Applicable,Too many ads,5
106,27,M,City,Silver Membership,2016-10-23,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21,357.45,29825.45,9.0,665.63,No,Yes,Yes,Solved,Poor Website,4
107,56,M,City,Gold Membership,2016-04-24,No,Without Offers,Desktop,Fiber_Optic,21,1386.2328573111793,9454.17,19.0,778.27,Yes,No,No,Not Applicable,Too many ads,3
108,11,M,,Silver Membership,2016-08-24,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,96.14,11995.93,19.0,207.16976901801812,Yes,No,No,Not Applicable,Poor Customer Service,4
109,31,F,Town,Silver Membership,2017-04-13,No,Credit/Debit Card Offers,Both,Wi-Fi,10,428.05,6325.08,28.0,80.09369312905504,No,Yes,No,Not Applicable,Poor Product Quality,4
110,29,M,Town,Premium Membership,2016-05-07,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,42.48,16098.94,21.0,766.85,Yes,No,Yes,Solved,Poor Website,3
111,31,F,City,Silver Membership,2016-04-20,Yes,Without Offers,Smartphone,Wi-Fi,24,33.91,23226.43,7.0,762.48,No,Yes,Yes,Solved,Poor Customer Service,3
112,11,F,Town,Basic Membership,2015-03-10,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,1060.5279791549135,10990.31,16.0,271.71438129394863,Yes,No,No,Not Applicable,Poor Product Quality,5
113,14,M,Town,Basic Membership,2017-07-19,No,Credit/Debit Card Offers,Desktop,Mobile_Data,-999,1156.4319042423044,32302.27,24.0,520.33,No,Yes,No,Not Applicable,Poor Customer Service,5
114,26,M,City,Silver Membership,2017-11-14,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,187.91,17002.23,11.0,700.11,No,Yes,No,Not Applicable,Too many ads,3
115,62,M,,Premium Membership,2016-01-09,No,Credit/Debit Card Offers,Desktop,Mobile_Data,10,284.09,48305.86,,730.05,No,Yes,No,Not Applicable,Poor Website,3
117,43,F,Village,Silver Membership,2016-12-12,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,-771.4156089065677,16186.76,8.0,633.22,Yes,No,No,Not Applicable,Poor Customer Service,4
118,23,M,Town,Gold Membership,2016-03-17,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,109.76,46102.66,8.0,783.03,Yes,No,No,Not Applicable,Poor Product Quality,3
119,57,M,Town,Gold Membership,2015-08-30,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,-999,56.63,10171.97,23.0,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,3
120,17,M,,Gold Membership,2015-11-12,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21,81.15,46109.6,17.0,270.4676559723125,Yes,No,No,Not Applicable,No reason specified,4
121,42,M,City,Platinum Membership,2015-06-08,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,1195.7326664672294,31504.62,10.0,1207.2537286760455,Yes,No,No,Not Applicable,Poor Customer Service,3
122,21,F,City,Silver Membership,2016-03-11,No,Credit/Debit Card Offers,?,Mobile_Data,7,99.95,22865.42,21.0,,No,Yes,No,Not Applicable,No reason specified,3
123,46,M,Village,No Membership,2017-03-16,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21,287.39,44809.68,27.0,629.6,No,Yes,No,Not Applicable,Poor Product Quality,4
124,41,M,,Silver Membership,2016-11-25,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,-999,892.02,36394.44,26.0,630.98,Yes,Yes,Yes,Unsolved,Poor Website,4
125,61,M,City,Basic Membership,2017-05-31,?,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,115.29,13019.31,14.0,164.07034816193467,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,4
126,15,F,City,Premium Membership,2015-08-04,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5,185.05,43833.54,15.0,743.57,No,Yes,No,Not Applicable,Poor Product Quality,3
127,56,M,,Gold Membership,2016-07-08,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16,30.16,33886.44,5.0,670.11,No,Yes,No,Not Applicable,Poor Customer Service,4
128,35,M,City,Gold Membership,2015-03-26,No,Without Offers,Both,Fiber_Optic,17,219.13,70247.76,3.0,1293.1693808393377,Yes,Yes,No,Not Applicable,User Friendly Website,1
129,57,M,Town,No Membership,2015-01-13,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,8,400.35,30248.45,9.0,660.25,No,Yes,Yes,Unsolved,Poor Customer Service,4
130,64,M,Town,No Membership,2015-03-16,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20,49.24,39981.97,12.0,648.6,Yes,No,Yes,Solved,Too many ads,5
131,21,M,Town,Basic Membership,2017-02-28,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,590.85,21919.13,14.0,610.24,Yes,No,Yes,Solved,Poor Product Quality,5
132,53,F,Town,Gold Membership,2017-01-27,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,22,1142.148835374673,34918.7,6.0,699.08,Yes,No,Yes,Solved in Follow-up,Poor Website,4
133,26,M,Village,No Membership,2017-06-26,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16,138.33,8025.77,29.0,1016.7857130097486,Yes,No,No,Not Applicable,Poor Customer Service,4
134,61,M,Town,Gold Membership,2016-01-08,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,516.46,45544.33,29.0,780.96,No,Yes,Yes,Unsolved,Too many ads,3
135,30,M,Town,No Membership,2015-04-28,No,Without Offers,Desktop,Fiber_Optic,19,211.19,2554.48,10.0,622.45,Yes,Yes,Yes,Solved,Poor Website,5
136,38,M,Town,Gold Membership,2015-08-13,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19,942.84,49037.16,6.0,,No,Yes,No,Not Applicable,No reason specified,3
137,35,F,City,Gold Membership,2015-06-24,No,Without Offers,Smartphone,Fiber_Optic,10,267.45,32922.76,8.0,701.45,No,Yes,No,Not Applicable,No reason specified,4
138,61,F,,No Membership,2017-07-17,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,22,34.37,3862.41,10.0,602.86,No,Yes,No,Not Applicable,Too many ads,5
139,53,M,City,Gold Membership,2017-05-05,No,Credit/Debit Card Offers,Desktop,Mobile_Data,19,213.34,8860.9,6.0,671.74,Yes,No,Yes,Solved,Poor Website,4
140,55,M,Town,No Membership,2017-11-26,No,Credit/Debit Card Offers,?,Wi-Fi,23,50.48,8944.54,25.0,626.96,Yes,No,Yes,Unsolved,Poor Customer Service,5
141,23,M,City,Basic Membership,2016-01-30,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,1044.243493684985,26060.01,22.0,684.88,Yes,No,Yes,Solved,Poor Website,4
142,11,M,Town,Premium Membership,2015-04-23,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,-999,628.79,33199.52,22.0,777.94,Yes,No,Yes,No Information Available,Poor Customer Service,3
143,22,M,Town,No Membership,2017-10-07,No,Gift Vouchers/Coupons,?,Mobile_Data,17,56.58,41050.72,15.0,,Yes,No,Yes,Solved,Poor Website,4
144,37,M,Village,Silver Membership,2015-02-04,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,172.07,23587.32,28.0,326.1310708697294,Yes,No,No,Not Applicable,Poor Website,4
146,20,M,City,Platinum Membership,2016-12-22,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,11,144.33,54420.14,5.0,,No,Yes,No,Not Applicable,User Friendly Website,1
147,53,M,City,Premium Membership,2017-09-02,Yes,Without Offers,Both,Fiber_Optic,7,787.74,20129.88,12.0,,Yes,No,Yes,Solved in Follow-up,Quality Customer Care,1
148,38,F,City,Basic Membership,2017-05-24,?,Gift Vouchers/Coupons,?,Fiber_Optic,26,30.49,37139.89,20.0,627.26,Yes,No,No,Not Applicable,Poor Customer Service,5
149,59,F,City,Basic Membership,2016-08-31,No,Without Offers,Both,Wi-Fi,8,400.21,33996.1,38.47159929450214,697.6,Yes,Yes,No,Not Applicable,Poor Product Quality,4
150,50,F,Town,Gold Membership,2016-02-26,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,103.36,39610.89,10.0,653.12,Yes,No,Yes,Solved,Poor Customer Service,4
151,64,F,City,Silver Membership,2015-03-30,?,Credit/Debit Card Offers,Smartphone,Mobile_Data,8,58.15,27995.24,18.0,,Yes,No,No,Not Applicable,Poor Product Quality,3
152,27,F,Town,Gold Membership,2017-03-27,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,862.2,35895.98,21.0,,No,Yes,No,Not Applicable,No reason specified,4
153,12,F,Town,Gold Membership,2017-10-07,?,Without Offers,Desktop,Wi-Fi,9,412.22,1313.11,18.0,733.13,Yes,Yes,No,Not Applicable,Products always in Stock,2
